run_id,timestamp,label,mysql_numa_profile,iteration,status,tps,qps,threads,time_s,tables,table_size,mysql_host,mysql_port
20260113_161356,2026-01-13 16:13:56,node0_mem0,node0_mem0,1,ok,2818.40,56367.94,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:14:57,node0_mem0,node0_mem0,2,ok,2811.39,56227.76,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:15:57,node0_mem0,node0_mem0,3,ok,2815.82,56316.49,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:16:57,node0_mem0,node0_mem0,4,ok,2807.16,56143.15,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:17:58,node0_mem0,node0_mem0,5,ok,2813.88,56277.69,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:18:58,node0_mem0,node0_mem0,6,ok,2812.64,56252.89,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:19:59,node0_mem0,node0_mem0,7,ok,2812.63,56252.54,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:20:59,node0_mem0,node0_mem0,8,ok,2812.22,56244.46,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:21:59,node0_mem0,node0_mem0,9,ok,2812.57,56251.46,32,60,16,1000000,192.168.1.231,3306
20260113_161356,2026-01-13 16:23:00,node0_mem0,node0_mem0,10,ok,2811.19,56223.74,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:25:52,node0_mem1,node0_mem1,1,ok,2819.63,56392.66,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:26:52,node0_mem1,node0_mem1,2,ok,2812.89,56257.71,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:27:53,node0_mem1,node0_mem1,3,ok,2797.36,55947.20,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:28:53,node0_mem1,node0_mem1,4,ok,2809.18,56183.62,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:29:54,node0_mem1,node0_mem1,5,ok,2809.47,56189.40,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:30:54,node0_mem1,node0_mem1,6,ok,2808.82,56176.38,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:31:55,node0_mem1,node0_mem1,7,ok,2810.38,56207.59,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:32:55,node0_mem1,node0_mem1,8,ok,2808.55,56171.03,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:33:56,node0_mem1,node0_mem1,9,ok,2812.96,56259.19,32,60,16,1000000,192.168.1.231,3306
20260113_162552,2026-01-13 16:34:56,node0_mem1,node0_mem1,10,ok,2807.39,56147.78,32,60,16,1000000,192.168.1.231,3306
