run_id,timestamp,label,mysql_numa_profile,iteration,status,tps,qps,threads,time_s,tables,table_size,mysql_host,mysql_port
20260120_222622,2026-01-20 22:26:22,node0_mem0,node0_mem0,1,failed,NA,NA,32,60,16,1000000,100.108.36.67,3306
20260120_222622,2026-01-20 22:26:22,node0_mem0,node0_mem0,2,failed,NA,NA,32,60,16,1000000,100.108.36.67,3306
20260120_222622,2026-01-20 22:26:23,node0_mem0,node0_mem0,3,failed,NA,NA,32,60,16,1000000,100.108.36.67,3306
20260120_224223,2026-01-20 22:42:23,node0_mem0,node0_mem0,1,failed,NA,NA,32,60,16,1000000,100.108.36.67,3306
20260120_224223,2026-01-20 22:42:24,node0_mem0,node0_mem0,2,failed,NA,NA,32,60,16,1000000,100.108.36.67,3306
20260120_224223,2026-01-20 22:42:25,node0_mem0,node0_mem0,3,failed,NA,NA,32,60,16,1000000,100.108.36.67,3306
20260120_230916,2026-01-20 23:09:16,node0_mem0,node0_mem0,1,ok,22.60,452.02,32,60,16,1000000,100.108.36.67,3306
20260120_230916,2026-01-20 23:10:28,node0_mem0,node0_mem0,2,ok,21.48,429.67,32,60,16,1000000,100.108.36.67,3306
20260120_230916,2026-01-20 23:11:40,node0_mem0,node0_mem0,3,ok,21.20,423.95,32,60,16,1000000,100.108.36.67,3306
20260120_231548,2026-01-20 23:15:48,node0_mem1,node0_mem1,1,ok,22.20,444.02,32,60,16,1000000,100.108.36.67,3306
20260120_231548,2026-01-20 23:16:59,node0_mem1,node0_mem1,2,ok,21.38,427.63,32,60,16,1000000,100.108.36.67,3306
20260120_231548,2026-01-20 23:18:11,node0_mem1,node0_mem1,3,ok,22.17,443.44,32,60,16,1000000,100.108.36.67,3306
